#Delay (us),miniTRB,,FOOT + LASER@3.5,,FOOT + LASER@5.5,
#Delay,ADC,Norm.,ADC,Norm.,ADC,Norm.
1,282.691,0.122,21.3703,0.593,302.629,0.413
1.5,584.439,0.251,22.5639,0.626,393.053,0.537
2,913.086,0.393,24.779,0.687,468.107,0.639
2.5,1194.77,0.514,27.2162,0.755,529.371,0.723
3,1436.1,0.618,29.539,0.819,580.104,0.792
3.5,1632.22,0.702,31.5154,0.874,621.583,0.849
4,1791.9,0.771,32.9612,0.914,654.691,0.894
4.5,1920.91,0.826,34.14,0.947,680.452,0.929
5,2025.84,0.871,34.9274,0.969,700.357,0.956
5.5,2108.61,0.907,35.5965,0.987,714.94,0.976
6,2175.98,0.936,35.864,0.995,724.663,0.989
6.5,2226.92,0.958,36.0138,0.999,730.388,0.997
7,2265.94,0.974,36.0496,1.000,732.383,1.000
7.5,2293.64,0.986,35.7079,0.991,731.182,0.998
8,2312.69,0.995,35.3904,0.982,727.383,0.993
8.5,2323.23,0.999,34.9271,0.969,720.992,0.984
9,2325.47,1.000,34.3065,0.952,712.371,0.973
9.5,2322.63,0.999,33.5991,0.932,701.585,0.958
10,2313.62,0.995,32.8799,0.912,689.544,0.942
10.5,2300.72,0.989,32.029,0.888,676.069,0.923
11,2284.29,0.982,31.2946,0.868,661.377,0.903
11.5,2262.13,0.973,30.3068,0.841,645.561,0.881
12,880.026,0.378,29.4368,0.817,628.565,0.858
12.5,0,0,28.4412,0.789,611.215,0.835
13,0,0,27.6768,0.768,593.146,0.810
13.5,0,0,26.6849,0.740,575.062,0.785
14,0,0,25.8557,0.717,557.257,0.761
14.5,0,0,25.021,0.694,538.983,0.736
15,0,0,24.236,0.672,520.459,0.711
15.5,0,0,23.574,0.654,501.546,0.685
16,0,0,23.0323,0.639,482.47,0.659
16.5,0,0,22.4985,0.624,463.321,0.633
17,0,0,22.0251,0.611,444.277,0.607
17.5,0,0,21.7906,0.604,425.549,0.581
18,0,0,21.5512,0.598,406.374,0.555
18.5,0,0,21.3305,0.592,388.172,0.530
19,0,0,21.157,0.587,369.102,0.504
19.5,0,0,21.0124,0.583,350.039,0.478
20,0,0,20.8695,0.579,330.864,0.452